,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
225,http://flipkart.com/ann-springs-solid-women-a-line-dark-blue-skirt/p/itmfhnvzevmt8gbh?pid=SKIFHNVZ8MFV3KXV&lid=LSTSKIFHNVZ8MFV3KXV7NIXOE&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_7_278&otracker=browse&fm=organic&iid=123b8e54-6e8f-4941-8769-1f98471a9555.SKIFHNVZ8MFV3KXV.SEARCH&ppt=None&ppn=None&ssid=utbx982ig00000001658754634852,225,Women Solid A-line Dark Blue Skirt,3.6,100,17,very thin cloth  low quality did not met my expectations looks ok ok very cheap materialtorned after one wash,0.3188,0.0015328643
184,http://flipkart.com/purple-feather-solid-women-pencil-black-skirt/p/itm97cc868e9ee27?pid=SKIGFWYMJGF9AFEM&lid=LSTSKIGFWYMJGF9AFEMI8EM3U&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_6_229&otracker=browse&fm=organic&iid=2c5cc464-e9e7-42ed-b5e4-2ed0cd27636a.SKIGFWYMJGF9AFEM.SEARCH&ppt=None&ppn=None&ssid=ox1oaa7vfk0000001658754633878,184,Women Solid Pencil Black Skirt,3.7,85,8,not a good product nice it’s very good,1.3023,0.0015287003
222,http://flipkart.com/purple-feather-solid-women-pencil-black-skirt/p/itm97cc868e9ee27?pid=SKIGFWYMJGF9AFEM&lid=LSTSKIGFWYMJGF9AFEMI8EM3U&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_7_274&otracker=browse&fm=organic&iid=123b8e54-6e8f-4941-8769-1f98471a9555.SKIGFWYMJGF9AFEM.SEARCH&ppt=None&ppn=None&ssid=utbx982ig00000001658754634852,222,Women Solid Pencil Black Skirt,3.7,85,8,not a good product nice it’s very good,1.3023,0.0015287003
188,http://flipkart.com/mansha-printed-women-flared-black-skirt/p/itm97342ba58efe1?pid=SKIGDE7PZHTEC4VZ&lid=LSTSKIGDE7PZHTEC4VZ0VGF0F&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_6_233&otracker=browse&fm=organic&iid=2c5cc464-e9e7-42ed-b5e4-2ed0cd27636a.SKIGDE7PZHTEC4VZ.SEARCH&ppt=None&ppn=None&ssid=ox1oaa7vfk0000001658754633878,188,Women Printed Flared Black Skirt,4,62,6,nice 👌 good quality💖 super,2.9416,0.0015201216
207,http://flipkart.com/mansha-printed-women-flared-black-skirt/p/itm97342ba58efe1?pid=SKIGDE7PZHTEC4VZ&lid=LSTSKIGDE7PZHTEC4VZ0VGF0F&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_7_257&otracker=browse&fm=organic&iid=123b8e54-6e8f-4941-8769-1f98471a9555.SKIGDE7PZHTEC4VZ.SEARCH&ppt=None&ppn=None&ssid=utbx982ig00000001658754634852,207,Women Printed Flared Black Skirt,4,62,6,nice 👌 good quality💖 super,2.9416,0.0015201216
228,http://flipkart.com/payu-embroidered-women-flared-white-skirt/p/itm946c2f86eec6e?pid=SKIFTBSSXYMXJXDQ&lid=LSTSKIFTBSSXYMXJXDQDMHELA&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_282&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIFTBSSXYMXJXDQ.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,228,Women Embroidered Flared White Skirt,4.4,27,6,best product 👍👍👍😊😊😊😊😊 such a nice skirt looks better than image given very beautiful it is very flared nice fabric nice colourjust go for it thanks flipkart for the product very cute skirtworth to price,4.8222,0.0014112128
148,http://flipkart.com/tokyo-talkies-solid-women-skorts-black-skirt/p/itm193ddfbf18f3d?pid=SKIG82TJYKBKEZHU&lid=LSTSKIG82TJYKBKEZHUTJFJTK&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_5_185&otracker=browse&fm=organic&iid=e74ac348-ebe8-4dab-b71d-5977bd888bcf.SKIG82TJYKBKEZHU.SEARCH&ppt=None&ppn=None&ssid=zuvmkf8rb40000001658754632960,148,Women Solid Skorts Black Skirt,3.9,130,14,waist belt was too long i fixed by cutting and sewing rest the dress is bomb  the skirt is so aesthetic its material is very good very very bad plz dont buy waste of money,-1.0681,0.0014054651
276,http://flipkart.com/urbanic-solid-women-a-line-black-skirt/p/itm9d13dd3edd3ec?pid=SKIG74UH8CV8XHH9&lid=LSTSKIG74UH8CV8XHH9PZUDFQ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_342&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIG74UH8CV8XHH9.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,276,Women Solid A-line Black Skirt,4.1,59,6,perfect fit good fabric loved it its osm same as shown in the picture i like it,2.3341,0.0013756380
163,http://flipkart.com/ibba-floral-print-women-flared-multicolor-skirt/p/itm11c7993910391?pid=SKIG5UFX65YMBYM6&lid=LSTSKIG5UFX65YMBYM6PNMOSD&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_6_203&otracker=browse&fm=organic&iid=2c5cc464-e9e7-42ed-b5e4-2ed0cd27636a.SKIG5UFX65YMBYM6.SEARCH&ppt=None&ppn=None&ssid=ox1oaa7vfk0000001658754633878,163,Women Floral Print Flared Multicolor Skirt,4,83,2,cloths is good pure cotton nice beautiful,1.4613,0.0013444175
277,http://flipkart.com/planningart-solid-women-regular-dark-blue-skirt/p/itm9104d5ec46edf?pid=SKIGYY2HGFPBZUZQ&lid=LSTSKIGYY2HGFPBZUZQYNJCGO&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_343&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIGYY2HGFPBZUZQ.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,277,Women Solid Regular Dark Blue Skirt,3.8,41,5,i like it it was literally awesome and it has an smart as well as aesthetic look i appreciate flipkart as well as the product partner and planning art as well they didi a good job and i recieved the proper product with similar design and good delivery 😀 👍🏻 the color is also very accurate and pure denim this is going to one of my must haves and must buy  the best part of this product is it doesnt loose the dye after washing its material is cool too,4.4884,0.0013336757
