,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
256,http://flipkart.com/rigo-women-bodycon-black-maroon-white-dress/p/itm497e2bd13f0f8?pid=DREEVAH66JBCGHXU&lid=LSTDREEVAH66JBCGHXU13J9XT&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_7_279&otracker=browse&fm=organic&iid=498d350b-fe93-4a21-a700-ed1f1254a687.DREEVAH66JBCGHXU.SEARCH&ppt=None&ppn=None&ssid=xtqx69xdo00000001658756741660,256,"Women Bodycon Black, Maroon, White Dress",4.2,7362,1073,nyc product i loved it so comfortable and cool to wear loved the dress  its nice and comfortable the dress is simply wow and also reasonable its fit is super awesome and it is exactly same as shown in the picture loved it 😍,6.1893,0.0319943347
202,http://flipkart.com/darzi-women-bodycon-black-dress/p/itm14ce2a7444299?pid=DREGYFD4469UYHJK&lid=LSTDREGYFD4469UYHJK9BZLMQ&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_6_223&otracker=browse&fm=organic&iid=0f40640d-1f08-4370-8215-c3638c9d9b71.DREGYFD4469UYHJK.SEARCH&ppt=None&ppn=None&ssid=gbo1wgpztc0000001658756740571,202,Women Bodycon Black Dress,4.1,9921,1419,amazing for get together partiesthe material is also so good with shining effect quality or look 😍 just awesome 💓 i love it ♥️,3.6798,0.0318310174
296,http://flipkart.com/darzi-women-wrap-maroon-dress/p/itm340a3f4782ecd?pid=DREFTZGXUEFGFGH5&lid=LSTDREFTZGXUEFGFGH5JDPJTD&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_9_323&otracker=browse&fm=organic&iid=5e78f7a3-22ff-4166-bd37-1a923266d9fe.DREFTZGXUEFGFGH5.SEARCH&ppt=None&ppn=None&ssid=addztmnj2o0000001658756744894,296,Women Wrap Maroon Dress,4.1,9921,1419,amazing for get together partiesthe material is also so good with shining effect quality or look 😍 just awesome 💓 i love it ♥️,3.6798,0.0318310174
360,http://flipkart.com/metro-fashion-women-gathered-dark-blue-dress/p/itmd66a49d7fdf01?pid=DREFGBGNSAHDXFWJ&lid=LSTDREFGBGNSAHDXFWJM3ZXOX&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_10_393&otracker=browse&fm=organic&iid=059e3c9c-55a2-4fb4-b8bb-8450b82447a7.DREFGBGNSAHDXFWJ.SEARCH&ppt=None&ppn=None&ssid=7rgz4b6q000000001658756745981,360,Women Gathered Dark Blue Dress,4.3,9756,1600,just amazing ❤️❤️❤️❤️❤️❤️❤️ quality is 👌👌👌👌👌 super quality very comfortable go for it,2.6788,0.0296205923
101,http://flipkart.com/sheetal-associates-women-fit-flare-green-dress/p/itma433a4b364fc9?pid=DREFZKCW3UH8RYYV&lid=LSTDREFZKCW3UH8RYYVWXLKA5&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_114&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREFZKCW3UH8RYYV.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,101,Women Fit and Flare Green Dress,4.3,10880,1438,amazing love it❤ must go for it amazing product,2.4456,0.0293468805
111,http://flipkart.com/sheetal-associates-women-fit-flare-green-dress/p/itma433a4b364fc9?pid=DREFZKCW3UH8RYYV&lid=LSTDREFZKCW3UH8RYYVWXLKA5&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_4_125&otracker=browse&fm=organic&iid=475b9e0f-e2fa-443e-9c2e-3bffb00fcde6.DREFZKCW3UH8RYYV.SEARCH&ppt=None&ppn=None&ssid=eyr0hefdxs0000001658756737931,111,Women Fit and Flare Green Dress,4.3,10880,1438,amazing love it❤ must go for it amazing product,2.4456,0.0293468805
159,http://flipkart.com/sheetal-associates-women-a-line-purple-dress/p/itmc01622ea62f64?pid=DREFPY8Z3DCYFVQK&lid=LSTDREFPY8Z3DCYFVQKVRHZ33&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_175&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREFPY8Z3DCYFVQK.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,159,Women A-line Purple Dress,4.1,10521,1355,i love this one 💖 just wow😍😍😚 nice,2.735,0.0284109233
89,http://flipkart.com/miss-chase-women-maxi-purple-dress/p/itm0db47cc0a639e?pid=DREG7AF2Z4YQDMZS&lid=LSTDREG7AF2Z4YQDMZSQA0PSP&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_101&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREG7AF2Z4YQDMZS.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,89,Women Maxi Purple Dress,4.4,8126,1297,i am happy with this product beautiful dress ❤️ just i love it 😍👌🏻,2.6537,0.0246292111
3,http://flipkart.com/sheetal-associates-women-wrap-pink-dress/p/itmde841fb7c1f91?pid=DREGACDFHNXP36XX&lid=LSTDREGACDFHNXP36XXEANDXF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_4&otracker=browse&fm=organic&iid=9f4db607-5fab-4c8e-8f54-49bcaf7d2f85.DREGACDFHNXP36XX.SEARCH&ppt=None&ppn=None&ssid=935ax4ah8g0000001658756734118,3,Women Wrap Pink Dress,4.2,9636,1124,its absolutely stunning 🥰 this dress is amezing just go for it🔥💯 gorgeous 😍😍😍,2.3018,0.0240590211
171,http://flipkart.com/sheetal-associates-women-wrap-pink-dress/p/itmde841fb7c1f91?pid=DREGACDFHNXP36XX&lid=LSTDREGACDFHNXP36XXEANDXF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_188&otracker=browse&fm=organic&iid=en_hlZBYjMhjxrzD012Wn83cXGcpLdKp19pNGvkkvOwKhu1WDCz3Io%2FpuaFKH%2F52cDJMjaonJdDfMiIpJRAKTSA2Q%3D%3D&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,171,Women Wrap Pink Dress,4.2,9636,1124,its absolutely stunning 🥰 this dress is amezing just go for it🔥💯 gorgeous 😍😍😍,2.3018,0.0240590211
